An,Luna,Zi,Ora,Minut,Secunda,Rain
2025,9,1,0,0,0,0.000000
2025,9,1,0,10,0,0.000000
2025,9,1,0,20,0,0.000000
2025,9,1,0,30,0,0.000000
2025,9,1,0,40,0,0.000000
2025,9,1,0,50,0,0.000000
2025,9,1,1,0,0,0.000000
2025,9,1,1,10,0,0.000000
2025,9,1,1,20,0,0.000000
2025,9,1,1,30,0,0.000000
2025,9,1,1,40,0,0.000000
2025,9,1,1,50,0,0.000000
2025,9,1,2,0,0,0.000000
2025,9,1,2,10,0,0.000000
2025,9,1,2,20,0,0.000000
2025,9,1,2,30,0,0.000000
2025,9,1,2,40,0,0.000000
2025,9,1,2,50,0,0.000000
2025,9,1,3,0,0,1.000000
2025,9,1,3,10,0,1.000000
2025,9,1,3,20,0,1.000000
2025,9,1,3,30,0,1.000000
2025,9,1,3,40,0,1.000000
2025,9,1,3,50,0,1.000000
2025,9,1,4,0,0,0.000000
2025,9,1,4,10,0,0.000000
2025,9,1,4,20,0,0.000000
2025,9,1,4,30,0,0.000000
2025,9,1,4,40,0,0.000000
2025,9,1,4,50,0,0.000000
2025,9,1,5,0,0,0.000000
2025,9,1,5,10,0,0.000000
2025,9,1,5,20,0,0.000000
2025,9,1,5,30,0,0.000000
2025,9,1,5,40,0,0.000000
2025,9,1,5,50,0,0.000000
2025,9,1,6,0,0,0.000000
2025,9,1,6,10,0,0.000000
2025,9,1,6,20,0,0.000000
2025,9,1,6,30,0,0.000000
2025,9,1,6,40,0,0.000000
2025,9,1,6,50,0,0.000000
2025,9,1,7,0,0,0.000000
2025,9,1,7,10,0,0.000000
2025,9,1,7,20,0,0.000000
2025,9,1,7,30,0,0.000000
2025,9,1,7,40,0,0.000000
2025,9,1,7,50,0,0.000000
2025,9,1,8,0,0,0.000000
2025,9,1,8,10,0,0.000000
2025,9,1,8,20,0,0.000000
2025,9,1,8,30,0,0.000000
2025,9,1,8,40,0,0.000000
2025,9,1,8,50,0,0.000000
2025,9,1,9,0,0,0.000000
2025,9,1,9,10,0,0.000000
2025,9,1,9,20,0,0.000000
2025,9,1,9,30,0,0.000000
2025,9,1,9,40,0,0.000000
2025,9,1,9,50,0,0.000000
2025,9,1,10,0,0,0.000000
2025,9,1,10,10,0,0.000000
2025,9,1,10,20,0,0.000000
2025,9,1,10,30,0,0.000000
2025,9,1,10,40,0,0.000000
2025,9,1,10,50,0,0.000000
2025,9,1,11,0,0,0.000000
2025,9,1,11,10,0,0.000000
2025,9,1,11,20,0,0.000000
2025,9,1,11,30,0,0.000000
2025,9,1,11,40,0,0.000000
2025,9,1,11,50,0,0.000000
2025,9,1,12,0,0,0.000000
2025,9,1,12,10,0,0.000000
2025,9,1,12,20,0,0.000000
2025,9,1,12,30,0,0.000000
2025,9,1,12,40,0,0.000000
2025,9,1,12,50,0,0.000000
2025,9,1,13,0,0,0.000000
2025,9,1,13,10,0,0.000000
2025,9,1,13,20,0,0.000000
2025,9,1,13,30,0,0.000000
2025,9,1,13,40,0,0.000000
2025,9,1,13,50,0,0.000000
2025,9,1,14,0,0,0.000000
2025,9,1,14,10,0,0.000000
2025,9,1,14,20,0,0.000000
2025,9,1,14,30,0,0.000000
2025,9,1,14,40,0,0.000000
2025,9,1,14,50,0,0.000000
2025,9,1,15,0,0,2.000000
2025,9,1,15,10,0,6.000000
2025,9,1,15,20,0,10.000000
2025,9,1,15,30,0,4.000000
2025,9,1,15,40,0,6.000000
2025,9,1,15,50,0,8.000000
2025,9,1,16,0,0,0.000000
2025,9,1,16,10,0,0.000000
2025,9,1,16,20,0,0.000000
2025,9,1,16,30,0,0.000000
2025,9,1,16,40,0,0.000000
2025,9,1,16,50,0,0.000000
2025,9,1,17,0,0,0.000000
2025,9,1,17,10,0,0.000000
2025,9,1,17,20,0,0.000000
2025,9,1,17,30,0,0.000000
2025,9,1,17,40,0,0.000000
2025,9,1,17,50,0,0.000000
2025,9,1,18,0,0,0.000000
2025,9,1,18,10,0,0.000000
2025,9,1,18,20,0,0.000000
2025,9,1,18,30,0,0.000000
2025,9,1,18,40,0,0.000000
2025,9,1,18,50,0,0.000000
2025,9,1,19,0,0,0.000000
2025,9,1,19,10,0,0.000000
2025,9,1,19,20,0,0.000000
2025,9,1,19,30,0,0.000000
2025,9,1,19,40,0,0.000000
2025,9,1,19,50,0,0.000000
2025,9,1,20,0,0,0.000000
2025,9,1,20,10,0,0.000000
2025,9,1,20,20,0,0.000000
2025,9,1,20,30,0,0.000000
2025,9,1,20,40,0,0.000000
2025,9,1,20,50,0,0.000000
2025,9,1,21,0,0,0.000000
2025,9,1,21,10,0,0.000000
2025,9,1,21,20,0,0.000000
2025,9,1,21,30,0,0.000000
2025,9,1,21,40,0,0.000000
2025,9,1,21,50,0,0.000000
2025,9,1,22,0,0,0.000000
2025,9,1,22,10,0,0.000000
2025,9,1,22,20,0,0.000000
2025,9,1,22,30,0,0.000000
2025,9,1,22,40,0,0.000000
2025,9,1,22,50,0,0.000000
2025,9,1,23,0,0,0.000000
2025,9,1,23,10,0,0.000000
2025,9,1,23,20,0,0.000000
2025,9,1,23,30,0,0.000000
2025,9,1,23,40,0,0.000000
2025,9,1,23,50,0,0.000000
