An,Luna,Zi,Ora,Minut,Secunda,Rain
2025,9,1,0,0,0,0.000000
2025,9,1,0,30,0,0.000000
2025,9,1,1,0,0,0.000000
2025,9,1,1,30,0,0.000000
2025,9,1,2,0,0,0.000000
2025,9,1,2,30,0,0.000000
2025,9,1,3,0,0,3.000000
2025,9,1,3,30,0,3.000000
2025,9,1,4,0,0,0.000000
2025,9,1,4,30,0,0.000000
2025,9,1,5,0,0,0.000000
2025,9,1,5,30,0,0.000000
2025,9,1,6,0,0,0.000000
2025,9,1,6,30,0,0.000000
2025,9,1,7,0,0,0.000000
2025,9,1,7,30,0,0.000000
2025,9,1,8,0,0,0.000000
2025,9,1,8,30,0,0.000000
2025,9,1,9,0,0,0.000000
2025,9,1,9,30,0,0.000000
2025,9,1,10,0,0,0.000000
2025,9,1,10,30,0,0.000000
2025,9,1,11,0,0,0.000000
2025,9,1,11,30,0,0.000000
2025,9,1,12,0,0,0.000000
2025,9,1,12,30,0,0.000000
2025,9,1,13,0,0,0.000000
2025,9,1,13,30,0,0.000000
2025,9,1,14,0,0,0.000000
2025,9,1,14,30,0,0.000000
2025,9,1,15,0,0,18.000000
2025,9,1,15,30,0,18.000000
2025,9,1,16,0,0,0.000000
2025,9,1,16,30,0,0.000000
2025,9,1,17,0,0,0.000000
2025,9,1,17,30,0,0.000000
2025,9,1,18,0,0,0.000000
2025,9,1,18,30,0,0.000000
2025,9,1,19,0,0,0.000000
2025,9,1,19,30,0,0.000000
2025,9,1,20,0,0,0.000000
2025,9,1,20,30,0,0.000000
2025,9,1,21,0,0,0.000000
2025,9,1,21,30,0,0.000000
2025,9,1,22,0,0,0.000000
2025,9,1,22,30,0,0.000000
2025,9,1,23,0,0,0.000000
2025,9,1,23,30,0,0.000000
